"ID","time","x","y"
15137,2012-12-13 08:18:00,-1704459.46547008,500370.021719437
15137,2012-12-13 08:49:00,-1704979.0588677,499476.497587762
15137,2012-12-13 14:17:00,-1705624.47949586,497504.179508584
15137,2012-12-13 14:53:00,-1706005.39949903,497270.020285222
15137,2012-12-14 02:03:00,-1706859.56192625,497552.333670222
15137,2012-12-14 02:19:00,-1706646.8468927,498398.447842178
15137,2012-12-14 03:11:00,-1708223.52718426,498665.446795942
15137,2012-12-14 03:36:00,-1707159.25575592,498493.046356174
15137,2012-12-14 04:55:00,-1706668.7710958,498984.195812667
15137,2012-12-14 05:13:00,-1707557.99947726,498737.781504472
15137,2012-12-14 09:34:00,-1706786.02867868,498227.642343622
15137,2012-12-14 14:09:00,-1706674.15448051,498998.639172382
15137,2012-12-14 14:36:00,-1706853.15537707,499076.51750134
15137,2012-12-14 15:55:00,-1706925.20178971,498998.032668577
15137,2012-12-15 02:15:00,-1707002.62502415,498512.261460021
15137,2012-12-15 02:51:00,-1707002.62502415,498512.261460021
15137,2012-12-15 04:27:00,-1707002.62502415,498512.261460021
15137,2012-12-15 04:59:00,-1707002.62502415,498512.261460021
15137,2012-12-15 08:22:00,-1708311.3075742,500804.156904008
15137,2012-12-15 09:20:00,-1705869.59394613,499108.373595569
15137,2012-12-15 14:27:00,-1706006.88229031,498435.327850041
15137,2012-12-15 16:09:00,-1708983.99596697,496026.077832105
15137,2012-12-16 02:04:00,-1714761.93536207,470198.093690565
15137,2012-12-16 02:54:00,-1712225.33620561,470273.307389056
15137,2012-12-16 03:39:00,-1715521.30585051,469209.281713194
15137,2012-12-16 04:31:00,-1712458.89847478,470152.464598917
15137,2012-12-16 05:44:00,-1711405.26935221,471516.079546005
15137,2012-12-16 08:50:00,-1718563.38632066,472092.759348891
15137,2012-12-16 16:00:00,-1724465.57731334,475807.893779187
15137,2012-12-17 05:22:00,-1730190.17494537,475808.220247039
15137,2012-12-17 05:46:00,-1730628.96483622,475603.532580427
15137,2012-12-17 08:34:00,-1726983.17108899,465802.479243396
15137,2012-12-17 10:17:00,-1721460.73420014,468402.52291427
15137,2012-12-17 14:09:00,-1713962.51475106,468881.086433612
15137,2012-12-17 15:14:00,-1713256.85852833,468929.289378206
15137,2012-12-17 16:14:00,-1712257.87178246,476948.91573412
15137,2012-12-17 17:25:00,-1710982.31657517,479591.108385521
15137,2012-12-17 17:58:00,-1711552.56737566,476530.668263543
15137,2012-12-17 20:12:00,-1712380.02838598,475938.225095687
15137,2012-12-17 20:45:00,-1712733.40213763,476188.378565619
15137,2012-12-17 20:48:00,-1712822.63413731,476126.664867046
15137,2012-12-18 03:19:00,-1708658.34820005,479617.562704767
15137,2012-12-18 03:47:00,-1711598.45291906,476719.022351073
15137,2012-12-18 04:59:00,-1712370.0569169,476527.986991406
15137,2012-12-18 08:09:00,-1713168.57832239,476606.650755148
15137,2012-12-18 09:29:00,-1712921.31851487,477248.042882962
15137,2012-12-18 11:42:00,-1713277.52933726,476686.50088978
15137,2012-12-18 15:31:00,-1713063.33089396,476795.911931169
15137,2012-12-19 02:34:00,-1711536.87782873,476204.394663953
15137,2012-12-19 03:06:00,-1711863.7002318,476609.132817487
15137,2012-12-19 03:20:00,-1711905.99048991,476609.856091079
15137,2012-12-19 04:31:00,-1712652.50735178,475809.738387261
15137,2012-12-19 05:54:00,-1711590.36932582,475933.116268648
15137,2012-12-19 09:15:00,-1712682.78453464,476173.350411834
15137,2012-12-19 09:29:00,-1711694.3959887,476030.207263076
15137,2012-12-19 14:49:00,-1712213.9499596,476300.378440527
15137,2012-12-19 15:27:00,-1712257.4826118,476050.360950712
15137,2012-12-20 02:59:00,-1711483.69969504,475721.465295841
15137,2012-12-20 04:35:00,-1712215.30161963,476329.001212064
15137,2012-12-20 05:50:00,-1712608.37150541,474862.040181167
15137,2012-12-20 09:11:00,-1715001.11937725,476056.287687967
15137,2012-12-20 14:41:00,-1712868.07452294,477398.792477737
15137,2012-12-20 15:19:00,-1713159.52015799,477533.32821305
15137,2012-12-21 02:51:00,-1725050.0808973,471053.144935109
15137,2012-12-21 04:12:00,-1725050.0808973,471053.144935109
15137,2012-12-21 05:24:00,-1725050.0808973,471053.144935109
15137,2012-12-21 10:31:00,-1735174.57912627,472783.819358055
15137,2012-12-21 14:34:00,-1713534.18841591,476649.935099262
15137,2012-12-21 16:20:00,-1712516.79964099,476721.554554049
15137,2012-12-21 17:58:00,-1713454.48268027,477810.216960413
15137,2012-12-21 20:53:00,-1712622.17368457,476059.304046065
15137,2012-12-21 20:59:00,-1712599.60750472,476141.098606092
15137,2012-12-21 21:03:00,-1712582.71897714,476180.422615132
15137,2012-12-22 02:06:00,-1712460.92054873,476086.963759863
15137,2012-12-22 02:07:00,-1712413.08380818,476068.496093078
15137,2012-12-22 02:39:00,-1712483.50350161,476213.995077486
15137,2012-12-22 03:41:00,-1712519.099004,476448.920408931
15137,2012-12-22 04:19:00,-1712791.47356361,476584.838752156
15137,2012-12-22 05:02:00,-1713740.96081985,476251.052953861
15137,2012-12-22 08:39:00,-1711236.40798966,476116.116461854
15137,2012-12-23 02:27:00,-1723260.28691445,471331.950465046
15137,2012-12-23 03:22:00,-1723243.93203038,471313.954958637
15137,2012-12-23 04:05:00,-1723551.18005073,471359.211546756
15137,2012-12-23 05:01:00,-1723255.63910929,471426.739847237
15137,2012-12-24 14:00:00,-1723562.52954227,471542.102746991
