"ID","lon","lat","date"
1,38.6023335972784,-67.6484572946524,"2014-03-16 05:46:58"
1,38.6376965999611,-67.6151406645453,"2014-03-16 15:22:58"
1,38.7079781741692,-67.6460142898472,"2014-03-17 00:58:58"
1,38.6531294091807,-67.6591300997778,"2014-03-17 10:34:58"
1,38.8007398302529,-67.6760398876296,"2014-03-17 20:10:58"
1,38.8640801812494,-67.7707848081078,"2014-03-18 05:46:58"
1,38.9058090279853,-67.7376555851909,"2014-03-18 15:22:58"
1,38.9571669720449,-67.8959336268908,"2014-03-19 00:58:58"
1,38.9743996094436,-67.9069687942964,"2014-03-19 10:34:58"
1,38.9554101620167,-68.0347444649707,"2014-03-19 20:10:58"
1,38.6384141933461,-68.1221648630565,"2014-03-20 05:46:58"
1,37.8779221516208,-68.0807837062442,"2014-03-20 15:22:58"
